LID	Language	Stock	Category	SlotsN	Partition	HostCat	Position.binned5	Behavior.binned4
1691	Juang	Austroasiatic	Atr	3	[5, 2, 1]	V	prae	NA
2958	Keresan (Laguna)	Keresan	S	7	[2, 1]	V	in	NA
2001	Micmac	Algic	S	5	[6, 3, 1, 1]	V	post	NA
1413	Chai	Surmic	Atr	5	[4, 3, 1]	V	post	NA
2641	Turkana	Nilotic	Atr	3	[4, 1]	V	prae	NA
79	French (colloquial)	Indo-European	Atr	1	[2]	V	post	NA
25	Armenian (Eastern)	Indo-European	S	1	[6]	V	post	NA
22	Anêm	West New Britain	Atr	2	[6]	V	prae	NA
27	Atakapa	Atakapa	S	2	[4]	V	post	NA
3250	Xingú Asuriní	Tupian	S	1	[7]	V	prae	NA
678	Bulgarian	Indo-European	Atr	2	[6]	V	post	NA
2956	Kõic	Sino-Tibetan	S	3	[9, 3, 2]	V	post	NA
678	Bulgarian	Indo-European	G	2	[2]	V	post	NA
956	Nahuatl (Sierra de Zacapoaxtla)	Uto-Aztecan	Atr	3	[3, 1]	V	prae	NA
299	Nandi	Nilotic	Atr	3	[5, 4]	V	prae	NA
678	Bulgarian	Indo-European	Aditr	2	[5]	V	post	NA
1791	Baale	Surmic	Atr	3	[6, 1]	V	post	NA
1578	Golin	Chimbu-Wahgi	Atr	1	[6]	V	post	NA
1439	Dumi	Sino-Tibetan	P	5	[6, 2, 1]	V	post	NA
2869	Yagaria	Eastern Highlands	Atr	3	[7]	V	post	NA
2862	Chintang	Sino-Tibetan	Atr	13	[3, 2, 1, 1, 1, 1]	V	post	NA
1954	Menya	Angan	Atr	2	[7]	V	post	NA
3250	Xingú Asuriní	Tupian	Atr	1	[8]	V	prae	NA
674	Limbu	Sino-Tibetan	P	12	[4, 1, 1, 1, 1, 1, 1]	V	post	NA
3039	Ghomara	Berber	Atr	2	[4, 3]	V	prae	NA
1763	Khakas	Turkic	Atr	4	[5]	V	post	NA
645	Hatam	Hatam	S	1	[6]	V	prae	NA
2882	Berber (Kabyle)	Berber	T	3	[6]	V	post	NA
908	Athpare	Sino-Tibetan	P	10	[3, 1, 1, 1, 1, 1, 1]	V	post	NA
1645	Anamuxra	Madang	Atr	4	[9]	V	post	NA
2997	Reyesano	Pano-Tacanan	Atr	3	[4, 1]	V	prae	NA
3042	Tamashek (Burkin Faso)	Berber	S	2	[4, 3]	V	prae	NA
559	Murle	Surmic	P	6	[4]	V	post	NA
518	Brahui	Dravidian	Atr	2	[6, 5]	V	post	NA
502	Turkish	Turkic	Atr	3	[5]	V	post	NA
2956	Kõic	Sino-Tibetan	P	3	[5, 4, 1]	V	post	NA
1136	Chontal Maya	Mayan	Atr	5	[3, 3, 1]	V	prae	NA
3062	Iyo	Finisterre-Huon	P	5	[3, 1]	V	post	NA
1890	Lithuanian	Indo-European	S	1	[4]	V	post	NA
54	Choctaw	Muskogean	T	4	[4]	V	prae	NA
3039	Ghomara	Berber	S	2	[4, 3]	V	prae	NA
54	Choctaw	Muskogean	Aditr	4	[3, 1]	V	post	NA
1578	Golin	Chimbu-Wahgi	Aditr	1	[4]	V	post	NA
885	Amuesha	Arawakan	P	3	[6]	V	post	NA
572	Nahuatl (Tetelcingo)	Uto-Aztecan	P	3	[6]	V	post	NA
26	Asmat	Macro-Ok	S	2	[5]	V	post	NA
322	Oksapmin	Macro-Ok	Aditr	2	[2]	V	post	NA
1136	Chontal Maya	Mayan	S	5	[3, 3, 2]	V	post	NA
2996	Yakkha	Sino-Tibetan	Atr	13	[1, 1, 1, 1, 1, 1, 1]	V	post	NA
688	Cora	Uto-Aztecan	S	2	[5]	V	prae	NA
1954	Menya	Angan	P	2	[7]	V	prae	NA
2885	Shughni	Indo-European	Atr	1	[6]	V	NA	NA
2001	Micmac	Algic	P	5	[5, 3, 3, 1]	V	post	NA
2628	Tobati	Austronesian	P	2	[6]	V	post	NA
21	Amharic	Semitic	S	5	[6, 5, 2]	V	prae	NA
871	Araki	Austronesian	S	2	[7]	V	prae	NA
322	Oksapmin	Macro-Ok	S	2	[2]	V	post	NA
637	Yamphu	Sino-Tibetan	Atr	9	[3, 2, 2, 1, 1, 1]	V	post	NA
3269	Tenetehara	Tupian	S	1	[6]	V	prae	NA
1439	Dumi	Sino-Tibetan	Atr	5	[6, 2, 1]	V	post	NA
2882	Berber (Kabyle)	Berber	S	3	[4, 3, 1]	V	prae	NA
2476	Sirionó	Tupian	S	1	[9]	V	prae	NA
2772	Koegu	Surmic	Atr	2	[2, 2]	V	post	NA
26	Asmat	Macro-Ok	P	2	[2]	V	post	NA
111	Ik	Kuliak	Atr	2	[6]	V	post	NA
12	Ainu	Ainu	Atr	3	[4]	V	NA	NA
572	Nahuatl (Tetelcingo)	Uto-Aztecan	S	3	[3, 1]	V	NA	NA
1388	Darmiya	Sino-Tibetan	S	1	[3]	V	post	NA
3044	Gurage (Sebat Bet)	Semitic	S	5	[6, 4, 3]	V	post	NA
2882	Berber (Kabyle)	Berber	Atr	3	[4, 3, 1]	V	post	NA
1142	Cheyenne	Algic	P	7	[3, 3, 3, 2, 2, 1, 1]	V	prae	NA
460	Jacaltec	Mayan	S	2	[4]	V	prae	NA
2657	Udihe	Tungusic	Aditr	2	[7, 6]	V	post	NA
3007	Bahing	Sino-Tibetan	Atr	6	[9, 1, 1, 1]	V	post	NA
387	Tuva	Turkic	S	3	[6]	V	post	NA
1763	Khakas	Turkic	Aditr	4	[5]	V	post	NA
2098	Mursi	Surmic	P	3	[4]	V	post	NA
2997	Reyesano	Pano-Tacanan	S	3	[4, 1]	V	prae	NA
2029	Moghol	Mongolic	Atr	2	[8, 7]	V	post	NA
648	Bororo	Macro-Ge	Atr	1	[6]	V	prae	NA
3062	Iyo	Finisterre-Huon	S	5	[5]	V	post	NA
2063	Majang	Surmic	Aditr	1	[6]	V	post	NA
22	Anêm	West New Britain	S	2	[6]	V	prae	NA
2982	Bariai	Austronesian	Atr	1	[5]	V	prae	NA
2873	Bantawa	Sino-Tibetan	Atr	10	[4, 2, 2, 1]	V	prae	NA
750	Berber (Figuig)	Berber	Atr	2	[4, 3]	V	prae	NA
2641	Turkana	Nilotic	P	3	[3, 1]	V	prae	NA
502	Turkish	Turkic	Aditr	3	[5]	V	post	NA
201	Nanai	Tungusic	S	1	[5]	V	post	NA
3068	Emerillon	Tupian	P	2	[5, 1]	V	prae	NA
1973	Menomini	Algic	P	11	[3, 2, 2, 2, 1, 1, 1]	V	post	NA
2476	Sirionó	Tupian	Atr	1	[9]	V	prae	NA
1954	Menya	Angan	S	2	[7]	V	post	NA
3018	Alaba-K’abeena	Cushitic	Aditr	1	[6]	V	NA	NA
2657	Udihe	Tungusic	Atr	2	[7, 6]	V	post	NA
2951	Karajá	Macro-Ge	Atr	1	[2]	V	prae	NA
2998	Jero	Sino-Tibetan	S	3	[4, 3, 1]	V	post	NA
