LID,AUTOTYPLabel,Exponence,Roles,HostCat,Slot,Position.binned5,Behavior.binned4
501,GEN,Role,NA,N_or_Pro,NA,NA,NA
333,PRONOUN,Person,NA,N,NA,prae,NA
333,PFV,Aspect,NA,V,NA,post,NA
333,<none>,Role,G;Aditr;Atr;T;P;S,,NA,NA,NA
98,ATTR,Construct;Gender,NA,Adj,NA,NA,NA
98,NOM,,P;T;Aditr;Atr;G;S,,NA,NA,NA
98,PFV,TAM,NA,V,NA,prae,NA
77,O-AGR.PRO,Construct;Number;Person;Role,NA,,NA,post,NA
77,<none>,,NA,,NA,NA,NA
77,TRANS Ì´å± 3s.OBJ,Construct;Number;Person;Role,NA,V,NA,post,NA
77,GEN,Role,NA,,NA,NA,NA
77,POSS,Construct,NA,,NA,post,NA
77,POSS-CLASS,PossSem,NA,,NA,post,NA
77,POSS-PRO,Number;Person;Role,NA,N_or_Pro,NA,post,NA
77,PAST,Tense,NA,,NA,prae,NA
500,PAST,Tense,NA,PRED,NA,prae,on head
500,PFV,Aspect,NA,S,NA,post,final
500,<none>,,S;P;Atr,,NA,NA,NA
500,POSS_NOUN,Role,NA,N_or_Pro,NA,post,NA
171,ATTR,Role,NA,NP; AdjP; S,NA,post,initial
569,AOR,Number;Person;Role;TA,NA,V,NA,post,NA
569,DOM,Role,P,NP,NA,prae,initial
210,PAST,TAM,NA,,NA,post,NA
210,DOM,Role,T;P;G,,NA,post,NA
48,POSS-AGR,Number;Person;Role,NA,,NA,post,NA
48,POSS_NOUN,PossSem;Role,NA,,NA,NA,NA
